name,city,state,good_suggestion,bad_suggestion,period
Tropical Dreams,Austin,TX,"['It is good to see that the food in your shop is delicious and keep it.', 'It is good and keep to make delicious chocolate food.', 'The buttuer in your shop is very popular for consumers and keep it good.']","['The food in your shop seems too hard for consumer. Trt to improve it.', 'The service is not very good, it may make customer feel bad, please improve it.']",pre covid
Tropical Dreams,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Yofresh,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Yofresh,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
J Squared Ice Cream,Richmond,BC,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
J Squared Ice Cream,Richmond,BC,"['The service here is very good, please keep it good.', 'The cream in your shop is very popular for consumers and keep it good.', 'It is good to see that the food in your shop is refreshing and keep it something new to attract people.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Sweet Frog Premium Frozen Yogurt,Longwood,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Sweet Frog Premium Frozen Yogurt,Longwood,FL,['It is good to see that the food in your shop is delicious and keep it.'],"['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Lucky Spoon Frozen Yogurt,Portland,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Lucky Spoon Frozen Yogurt,Portland,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Tremont Street Cafe,Boston,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Tremont Street Cafe,Boston,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
NadaMoo!,Austin,TX,"['It is good to see that the food in your shop is delicious and keep it.', 'The cream in your shop is very popular for consumers and keep it good.', 'It is good and keep to make delicious chocolate food.']","['The bitter food looks like not very popular in your shop, try to make other kinds of taste.', 'The buttuer in your shop is not very popular for consumers and try to improve it.', 'The service is mediocre, please improve it.']",pre covid
NadaMoo!,Austin,TX,"['The service here is very good, please keep it good.', 'It is good and keep to make delicious vanilla food.']","['Chocolate food looks not good in your shop and tries to improve it.', 'The buttuer in your shop is not very popular for consumers and try to improve it.', 'The cream in your shop is not very popular for consumers and try to improve it.']",after covid
Dolphin's Water Ice Factory,Atlanta,GA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Dolphin's Water Ice Factory,Atlanta,GA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Boba Tea and Snow Ice House,Chelsea,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Boba Tea and Snow Ice House,Chelsea,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Insomnia Cookies,Boulder,CO,"['The service here is very good, please keep it good.']","['The waitress is a little rude, it may make customer feel bad, please improve it.', 'The deliver in your shop may not be very quick and ordered. Please improve it.', 'The service is somehow poor, please spend more time on improving service process.']",pre covid
Insomnia Cookies,Boulder,CO,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The service is not very good, it may make customer feel bad, please improve it.', 'The service is not very good, it may make customer feel disappointing, please improve it']",after covid
Freshii,North Vancouver,BC,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Freshii,North Vancouver,BC,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Yogertz,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Yogertz,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
J.P. Licks - Newbury St,Boston,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Chocolate food looks not good in your shop and tries to improve it.', 'The buttuer in your shop is not very popular for consumers and try to improve it.']",pre covid
J.P. Licks - Newbury St,Boston,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Ice Hut,Altamonte Springs,FL,"['The cream in your shop is very popular for consumers and keep it good.', 'The buttuer in your shop is very popular for consumers and keep it good.', 'It is good and keep to make delicious chocolate food.']","['Mint food looks not to the taste of consumers and tries to improve it.', 'Vanilla food looks not good in your shop and try to improve it.']",pre covid
Ice Hut,Altamonte Springs,FL,"['It is good to see that the food in your shop is soft and keep it.', 'It is good and keep to make delicious chocolate food.', 'It is good and keep to make delicious mint food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Orange Leaf Frozen Yogurt,Natick,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Orange Leaf Frozen Yogurt,Natick,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Ice Cream Rollery,Gahanna,OH,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Ice Cream Rollery,Gahanna,OH,"['It is good to see that the food in your shop is delicious and keep it.', 'The service here is very good, please keep it good.', 'It is good to see that the food in your shop is soft and keep it.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Cool Moon Ice Cream,Portland,OR,"['It is good and keep to make delicious chocolate food.', 'It is good and keep to make delicious vanilla food.', 'The cream in your shop is very popular for consumers and keep it good.']","['The service is not very good, it may make customer feel bad, please improve it.', 'The service is somehow poor, please spend more time on improving service process.']",pre covid
Cool Moon Ice Cream,Portland,OR,"['The server here is courtesy, please keep it good.', 'Your home made food  is very popular for consumers and keep it good.', 'It is good and keep to make delicious mint food.']","['The service is not very good, it may make customer feel bad, please improve it.']",after covid
Ali's Cookies Emory,Atlanta,GA,"['It is good to see that the food in your shop is soft and keep it.', 'It is good and keep to make delicious chocolate food.']","['The waitress is a little rude, it may make customer feel bad, please improve it.', 'The food in your shop seems too hard for consumer. Trt to improve it.']",pre covid
Ali's Cookies Emory,Atlanta,GA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The waitress is a little rude, it may make customer feel bad, please improve it.', 'The service is not very good, it may make customer feel bad, please improve it.', 'The food in your shop seems too hard for consumer. Trt to improve it.']",after covid
Frisbee's,Mims,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Frisbee's,Mims,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Pressed Juicery,Wellesley,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Pressed Juicery,Wellesley,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Friendly's,Norwood,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The service is not very good, it may make customer feel bad, please improve it.', 'The food in your shop seems not fit with the taste of consumers, try to make them more delicious.', 'The service is somehow poor, please spend more time on improving service process.']",pre covid
Friendly's,Norwood,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Texas Wings & Grill,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Texas Wings & Grill,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Frostville Chamoyadas,Apopka,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Frostville Chamoyadas,Apopka,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Swizzles Frozen Yogurt,Winchester,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Swizzles Frozen Yogurt,Winchester,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Kilwin's,Atlanta,GA,"['It is good to see that the food in your shop is delicious and keep it.', 'It is good to see that the food in your shop is delicious and keep it.', 'It is good and keep to make delicious chocolate food.']","['The service is somehow poor, please spend more time on improving service process.']",pre covid
Kilwin's,Atlanta,GA,"['It is good to see that the food in your shop is delicious and keep it.', 'It is good and keep to make delicious chocolate food.']","['The food in your shop seems not soft or too soft for consumer. Trt to improve it.', 'The cream in your shop is not very popular for consumers and try to improve it.']",after covid
Friendly's,Orlando,FL,"['It is good to see that the food in your shop is delicious and keep it.', 'The service here is very good, please keep it good.', 'The buttuer in your shop is very popular for consumers and keep it good.']","['The service is not very good, it may make customer feel bad, please improve it.', 'The service is mediocre, please improve it.', 'The service is not very good, it may make customer feel bad, please improve it.']",pre covid
Friendly's,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Dizin FruttiBerri,Watertown,MA,"['It is good to see that the food in your shop is delicious and keep it.', 'The service here is very good, please keep it good.', 'Your home made food  is very popular for consumers and keep it good.']",['The food in your shop seems too hard for consumer. Trt to improve it.'],pre covid
Dizin FruttiBerri,Watertown,MA,"['It is good to see that the food in your shop is delicious and keep it.', 'It is good and keep to make delicious chocolate food.', 'It is good and keep to make delicious vanilla food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Mango King Loncheria,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The food in your shop seems not fit with the taste of consumers, try to make them more delicious.']",pre covid
Mango King Loncheria,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Lil E's Ice Cream,Plain City,OH,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Lil E's Ice Cream,Plain City,OH,"['It is good to see that the food in your shop is delicious and keep it.', 'It is good and keep to make delicious chocolate food.', 'It is good and keep to make delicious vanilla food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Chicago Grill & Creamery,Richmond,BC,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Chicago Grill & Creamery,Richmond,BC,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Liberty Ice Cream,Natick,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The food in your shop seems not fit with the taste of consumers, try to make them more delicious.']",pre covid
Liberty Ice Cream,Natick,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
YoSoGood Frozen Yogurt Cafe,Needham,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
YoSoGood Frozen Yogurt Cafe,Needham,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Sno Hut,Merritt Island,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']",['Chocolate food looks not good in your shop and tries to improve it.'],pre covid
Sno Hut,Merritt Island,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Frozland,Arlington,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Frozland,Arlington,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Ez Freezy,Portland,OR,"['It is good to see that the food in your shop is delicious and keep it.', 'The service and environment here is charming, please keep it good.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Ez Freezy,Portland,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The food in your shop seems not fit with the taste of consumers, try to make them more delicious.', 'The service is somehow poor, please spend more time on improving service process.']",after covid
Ripple Pure Frozen Yogurt,Boulder,CO,['It is good to see that the food in your shop is delicious and keep it.'],['Vanilla food looks not good in your shop and try to improve it.'],pre covid
Ripple Pure Frozen Yogurt,Boulder,CO,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Delish Frozen Yogurt,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Delish Frozen Yogurt,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
SnoLabs,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
SnoLabs,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Sweet Heart,Belmont,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Sweet Heart,Belmont,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Fashion Berry Frozen Yogurt & Smoothies,Natick,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Fashion Berry Frozen Yogurt & Smoothies,Natick,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Nom Station,Marietta,GA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Nom Station,Marietta,GA,['It is good and keep to make delicious chocolate food.'],['The food in your shop seems too hard for consumer. Trt to improve it.'],after covid
Popbar,Austin,TX,"['It is good to see that the food in your shop is delicious and keep it.', 'It is good and keep to make delicious chocolate food.', 'It is good and keep to make delicious mint food.']","['Vanilla food looks not good in your shop and try to improve it.', 'Fruity food looks not suitable to the taste of consumers and try to improve it.', 'The service is mediocre, please improve it.']",pre covid
Popbar,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Franny's,Malden,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Franny's,Malden,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Fantastea House,Beaverton,OR,"['It is good to see that the food in your shop is soft and keep it.', 'The honey in your shop is very popular for consumers and keep it good.', 'The service here is very good, please keep it good.']","['The food in your shop seems not fit with the taste of consumers, try to make them more delicious.', 'Chocolate food looks not good in your shop and tries to improve it.', 'The air in your shop looks like not very good, you should improve the environment.']",pre covid
Fantastea House,Beaverton,OR,"['It is good to see that the food in your shop is soft and keep it.', 'The cream in your shop is very popular for consumers and keep it good.', 'The honey in your shop is very popular for consumers and keep it good.']",['Chocolate food looks not good in your shop and tries to improve it.'],after covid
L'Artisan des Glaces,Orlando,FL,"['It is good to see that the food in your shop is delicious and keep it.', 'Your home made food  is very popular for consumers and keep it good.', 'It is good and keep to make delicious chocolate food.']","['The waitress is a little rude, it may make customer feel bad, please improve it.', 'The food in your shop seems not soft or too soft for consumer. Trt to improve it.']",pre covid
L'Artisan des Glaces,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Snarf's Sandwiches,Boulder,CO,['It is good to see that the food in your shop is soft and keep it.'],"['The food in your shop seems too hard for consumer. Trt to improve it.', 'The service is not very good, it may make customer unacceptable, please improve it.', 'The deliver in your shop may not be very quick and ordered. Please improve it.']",pre covid
Snarf's Sandwiches,Boulder,CO,['It is good to see that the food in your shop is soft and keep it.'],"['The food in your shop seems not fit with the taste of consumers, try to make them more delicious.', 'The service is not very good, it may make customer feel bad, please improve it.', 'The service is somehow poor, please spend more time on improving service process.']",after covid
Utopit,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Utopit,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Sweet Ritual,Austin,TX,"['It is good to see that the food in your shop is delicious and keep it.', 'It is good to see that the food in your shop is soft and keep it.', 'It is good and keep to make delicious chocolate food.']","['Fruity food looks not suitable to the taste of consumers and try to improve it.', 'The service is not very good, it may make customer feel disappointing, please improve it', 'The service is somehow poor, please spend more time on improving service process.']",pre covid
Sweet Ritual,Austin,TX,"['It is good to see that the food in your shop is soft and keep it.', 'It is good and keep to make delicious chocolate food.', 'It is good and keep to make delicious mint food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Bruster's Real Ice  Cream,Oviedo,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Bruster's Real Ice  Cream,Oviedo,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Icepik Shavery,Vancouver,BC,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Icepik Shavery,Vancouver,BC,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
OurFroyo Yogurt Shakes Italian Ice,Atlanta,GA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
OurFroyo Yogurt Shakes Italian Ice,Atlanta,GA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Yomii,Orange City,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Yomii,Orange City,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Cold Stone Creamery,Medford,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Cold Stone Creamery,Medford,MA,['It is good and keep to make delicious chocolate food.'],"['The service is not very good, it may make customer feel bad, please improve it.']",after covid
Italio's Gelato,Smyrna,GA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Italio's Gelato,Smyrna,GA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
MOOYAH Burgers, Fries & Shakes,North Billerica,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
MOOYAH Burgers, Fries & Shakes,North Billerica,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Dairy Queen,Damascus,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']",['The food in your shop seems not soft or too soft for consumer. Trt to improve it.'],pre covid
Dairy Queen,Damascus,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Boston Yogurt,Chelsea,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Boston Yogurt,Chelsea,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Yogen Fruz,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Yogen Fruz,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Limbhelados,Kissimmee,FL,['It is good to see that the food in your shop is soft and keep it.'],"['The food in your shop seems not fit with the taste of consumers, try to make them more delicious.', 'Your home made food  is not very popular for consumers and try to improve it.']",pre covid
Limbhelados,Kissimmee,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Planet Cream,Winter Springs,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Planet Cream,Winter Springs,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Captain Dusty's Ice Cream,Salem,MA,['Your home made food  is very popular for consumers and keep it good.'],"['Chocolate food looks not good in your shop and tries to improve it.', 'The buttuer in your shop is not very popular for consumers and try to improve it.']",pre covid
Captain Dusty's Ice Cream,Salem,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Piccomolo Ice Cream & Gelato,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Piccomolo Ice Cream & Gelato,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Tomatillos Authentic Mexican,Columbus,OH,"['It is good to see that the food in your shop is delicious and keep it.', 'The service here is very good, please keep it good.', 'People very like some sour food in your shop, just keep it good.']","['The service is mediocre, please improve it.']",pre covid
Tomatillos Authentic Mexican,Columbus,OH,['It is good to see that the food in your shop is soft and keep it.'],"['The sour food looks not very popular in your shop, try to make other kinds of taste.', 'The service is somehow poor, please spend more time on improving service process.']",after covid
Philly Italian Ice,Apopka,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Philly Italian Ice,Apopka,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Nestle Tollhouse,Vancouver,BC,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Nestle Tollhouse,Vancouver,BC,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Hungry Heart PDX,Portland,OR,"['It is good to see that the food in your shop is delicious and keep it.', 'Your home made food  is very popular for consumers and keep it good.', 'The cream in your shop is very popular for consumers and keep it good.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Hungry Heart PDX,Portland,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']",['The cream in your shop is not very popular for consumers and try to improve it.'],after covid
